entry_number,entry_date,description,org_id
41.0,2023-08-30 00:00:00,مستخلص رقم 15,d5789445-11e3-4ad6-9297-b565216751141
42.0,2022-10-03 00:00:00,الي ح/ النقديه (دفعه من مستخلص الحداده عبد الرحمن),d5789445-11e3-4ad6-9297-b565216751141
42.0,2023-08-30 00:00:00,مستخلص رقم 15,d5789445-11e3-4ad6-9297-b565216751141
43.0,2023-09-30 00:00:00,مستخلص رقم 16,d5789445-11e3-4ad6-9297-b565216751141
44.0,2022-10-03 00:00:00,الي ح/ النقديه (سياره الموقع امير 1),d5789445-11e3-4ad6-9297-b565216751141
44.0,2023-09-30 00:00:00,مستخلص رقم 16,d5789445-11e3-4ad6-9297-b565216751141
45.0,2023-09-30 00:00:00,مستخلص رقم 16,d5789445-11e3-4ad6-9297-b565216751141
46.0,2022-10-03 00:00:00,الي ح/ النقديه (بنزين للمولد),d5789445-11e3-4ad6-9297-b565216751141
46.0,2023-10-30 00:00:00,مستخلص رقم 17,d5789445-11e3-4ad6-9297-b565216751141
47.0,2023-10-30 00:00:00,مستخلص رقم 17,d5789445-11e3-4ad6-9297-b565216751141
48.0,2022-10-03 00:00:00,الي ح/ النقديه (مياه 19 لتر),d5789445-11e3-4ad6-9297-b565216751141
48.0,2023-10-30 00:00:00,مستخلص رقم 17,d5789445-11e3-4ad6-9297-b565216751141
49.0,2023-12-30 00:00:00,مستخلص رقم 19,d5789445-11e3-4ad6-9297-b565216751141
50.0,2022-10-03 00:00:00,الي ح/ النقديه (اكراميه بمب صب اعمده 29),d5789445-11e3-4ad6-9297-b565216751141
50.0,2023-12-30 00:00:00,مستخلص رقم 19,d5789445-11e3-4ad6-9297-b565216751141
51.0,2023-12-30 00:00:00,مستخلص رقم 19,d5789445-11e3-4ad6-9297-b565216751141
52.0,2022-10-03 00:00:00,الي ح/ النقديه (سكر وقهوه),d5789445-11e3-4ad6-9297-b565216751141
52.0,2024-01-30 00:00:00,مستخلص رقم 20,d5789445-11e3-4ad6-9297-b565216751141
53.0,2024-01-30 00:00:00,مستخلص رقم 20,d5789445-11e3-4ad6-9297-b565216751141
54.0,2022-10-03 00:00:00,الي ح/ النقديه (طباعه 8 لوحات a0),d5789445-11e3-4ad6-9297-b565216751141
54.0,2024-01-30 00:00:00,مستخلص رقم 20,d5789445-11e3-4ad6-9297-b565216751141
55.0,2024-02-28 00:00:00,مستخلص رقم 21,d5789445-11e3-4ad6-9297-b565216751141
56.0,2022-10-03 00:00:00,الي ح/ النقديه (دفعه من مستخلص نجاره محمد جمال),d5789445-11e3-4ad6-9297-b565216751141
56.0,2024-02-28 00:00:00,مستخلص رقم 21,d5789445-11e3-4ad6-9297-b565216751141
57.0,2024-02-28 00:00:00,مستخلص رقم 21,d5789445-11e3-4ad6-9297-b565216751141
58.0,2022-10-04 00:00:00,تعديل تقارير التربه للمره الرابعه 35.36.39.40.41.,d5789445-11e3-4ad6-9297-b565216751141
58.0,2024-03-30 00:00:00,مستخلص رقم 22,d5789445-11e3-4ad6-9297-b565216751141
59.0,2024-03-30 00:00:00,مستخلص رقم 22,d5789445-11e3-4ad6-9297-b565216751141
60.0,2022-10-04 00:00:00,تعديل تقارير التربه للمره الرابعه 35.36.39.40.41.,d5789445-11e3-4ad6-9297-b565216751141
60.0,2024-03-30 00:00:00,مستخلص رقم 22,d5789445-11e3-4ad6-9297-b565216751141
61.0,2024-01-30 00:00:00,تعويضات 1,d5789445-11e3-4ad6-9297-b565216751141
62.0,2022-10-04 00:00:00,تعديل تقارير التربه للمره الرابعه 35.36.39.40.41.,d5789445-11e3-4ad6-9297-b565216751141
62.0,2024-01-30 00:00:00,تعويضات 1,d5789445-11e3-4ad6-9297-b565216751141
63.0,2024-01-30 00:00:00,تعويضات 1,d5789445-11e3-4ad6-9297-b565216751141
64.0,2022-10-04 00:00:00,تعديل تقارير التربه للمره الرابعه 35.36.39.40.41.,d5789445-11e3-4ad6-9297-b565216751141
64.0,2024-04-30 00:00:00,مستخلص رقم 23,d5789445-11e3-4ad6-9297-b565216751141
65.0,2024-04-30 00:00:00,مستخلص رقم 23,d5789445-11e3-4ad6-9297-b565216751141
66.0,2022-10-04 00:00:00,تعديل تقارير التربه للمره الرابعه 35.36.39.40.41.,d5789445-11e3-4ad6-9297-b565216751141
66.0,2024-04-30 00:00:00,مستخلص رقم 23,d5789445-11e3-4ad6-9297-b565216751141
67.0,2024-05-30 00:00:00,مستخلص رقم 24,d5789445-11e3-4ad6-9297-b565216751141
