EntryNo,EntryDate,OldCode,OldName,Narration,Debit,Credit,Notes,OldNameNorm,OldCode_Original,OldName_Original,LegacyID,NewCode,NewAccountName,NewType,EntryDate_only,entry_number,tx_key
5,2022-09-30 00:00:00,31,التكاليف .,مستخلص رقم 4,33057.82726818,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2022-09-30,5,5|2022-09-30
5,2022-09-30 00:00:00,31,التكاليف .,مستخلص رقم 4,99173.545248954,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2022-09-30,5,5|2022-09-30
5,2022-09-30 00:00:00,31,التكاليف .,مستخلص رقم 4,120297.25,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2022-09-30,5,5|2022-09-30
5,2022-09-30 00:00:00,31,التكاليف .,مستخلص رقم 4,19774.88,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2022-09-30,5,5|2022-09-30
5,2022-09-30 00:00:00,31,التكاليف .,مستخلص رقم 4,57677.0,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2022-09-30,5,5|2022-09-30
5,2022-09-30 00:00:00,31,التكاليف .,مستخلص رقم 4,0.0,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2022-09-30,5,5|2022-09-30
5,2022-09-30 00:00:00,31,التكاليف .,مستخلص رقم 4,0.0,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2022-09-30,5,5|2022-09-30
5,2022-09-30 00:00:00,31,التكاليف .,مستخلص رقم 4,0.0,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2022-09-30,5,5|2022-09-30
5,2022-09-30 00:00:00,2352,ضرائب الخصم,مستخلص رقم 4,54930.2285,0.0,,ضرايب الخصم,2352,ضرائب الخصم,2352,22303,ضرائب الخصم,LIAB,2022-09-30,5,5|2022-09-30
5,2022-09-30 00:00:00,13111,تامينات العملاء,مستخلص رقم 4,288383.7,0.0,,تامينات العملاء,13111,تامينات العملاء,13111,12113,تامينات العملاء,ASSET,2022-09-30,5,5|2022-09-30
5,2022-09-30 00:00:00,13111,تامينات العملاء,مستخلص رقم 4,14419.185,0.0,,تامينات العملاء,13111,تامينات العملاء,13111,12113,تامينات العملاء,ASSET,2022-09-30,5,5|2022-09-30
5,2022-09-30 00:00:00,2356,ضرائب القيمة المضافة,مستخلص رقم 4,274651.15,0.0,,ضرايب القيمه المضافه,2356,ضرائب القيمة المضافة,2356,22306,ضرائب القيمة المضافة,LIAB,2022-09-30,5,5|2022-09-30
5,2022-09-30 00:00:00,221,عملاء دفعات مقدمة .,مستخلص رقم 4,576767.4,0.0,,عملاء دفعات مقدمه,221,عملاء دفعات مقدمة .,221,22201,عملاء دفعات مقدمة .,LIAB,2022-09-30,5,5|2022-09-30
5,2022-09-30 00:00:00,134,العملاء .,مستخلص رقم 4,0.0,1588574.0,,العملاء,134,العملاء .,134,12201,العملاء .,ASSET,2022-09-30,5,5|2022-09-30
6,2022-09-30 00:00:00,132,البنوك .,مستخلص رقم 4,3835785.8282986037,0.0,,البنوك,132,البنوك .,132,12103,البنوك .,ASSET,2022-09-30,6,6|2022-09-30
6,2022-09-30 00:00:00,134,العملاء .,مستخلص رقم 4,343313.34173318226,0.0,,العملاء,134,العملاء .,134,12201,العملاء .,ASSET,2022-09-30,6,6|2022-09-30
6,2022-09-30 00:00:00,134,العملاء .,مستخلص رقم 4,0.0,4179100.0,,العملاء,134,العملاء .,134,12201,العملاء .,ASSET,2022-09-30,6,6|2022-09-30
7,2022-10-30 00:00:00,134,العملاء .,مستخلص رقم 5,3916055.5,0.0,,العملاء,134,العملاء .,134,12201,العملاء .,ASSET,2022-10-30,7,7|2022-10-30
7,2022-10-30 00:00:00,41,ايرادات العمليات,مستخلص رقم 5,0.0,3916055.5,,ايرادات العمليات,41,ايرادات العمليات,41,4100,إيرادات التشغيل/العقود,REV,2022-10-30,7,7|2022-10-30
8,2022-10-30 00:00:00,31,التكاليف .,مستخلص رقم 5,16785.036244655,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2022-10-30,8,8|2022-10-30
8,2022-10-30 00:00:00,31,التكاليف .,مستخلص رقم 5,16785.036244655,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2022-10-30,8,8|2022-10-30
8,2022-10-30 00:00:00,31,التكاليف .,مستخلص رقم 5,22445.146222135,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2022-10-30,8,8|2022-10-30
8,2022-10-30 00:00:00,31,التكاليف .,مستخلص رقم 5,67335.4817430155,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2022-10-30,8,8|2022-10-30
8,2022-10-30 00:00:00,31,التكاليف .,مستخلص رقم 5,81677.0,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2022-10-30,8,8|2022-10-30
8,2022-10-30 00:00:00,31,التكاليف .,مستخلص رقم 5,13426.0,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2022-10-30,8,8|2022-10-30
8,2022-10-30 00:00:00,31,التكاليف .,مستخلص رقم 5,39160.555,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2022-10-30,8,8|2022-10-30
8,2022-10-30 00:00:00,31,التكاليف .,مستخلص رقم 5,0.0,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2022-10-30,8,8|2022-10-30
8,2022-10-30 00:00:00,31,التكاليف .,مستخلص رقم 5,0.0,0.0,,التكاليف,31,التكاليف .,31,5100,تكاليف المشروعات/التشغيل,EXP,2022-10-30,8,8|2022-10-30
