id,org_id,code,name,category,normal_balance,parent_id,level,path,status,description,created_at,updated_at,name_ar,description_ar,is_standard,allow_transactions,is_postable,is_active,legacy_code,legacy_name
0e960703-a40e-4fcb-b19a-3564d2de7e75,d5789445-11e3-4ad6-9297-b56521675114,12113,12113,asset,debit,abb9f5f6-aee7-46a1-b28f-b2f54e2e6fea,4,1000.1200.1210.12113,active,,2026-02-11 23:34:56.527147+00,2026-02-11 23:34:56.527147+00,تامينات العملاء,,false,true,true,true,13111,تامينات العملاء
1d8d22e7-1004-4ebb-8211-98d0465362ca,d5789445-11e3-4ad6-9297-b56521675114,12101,12101,asset,debit,abb9f5f6-aee7-46a1-b28f-b2f54e2e6fea,4,1000.1200.1210.12101,active,,2026-02-11 23:34:56.527147+00,2026-02-11 23:34:56.527147+00,الخزينة .,,false,true,true,true,131,الخزينة .
217dd6e7-5840-4d87-b8ae-bd7235acd42e,d5789445-11e3-4ad6-9297-b56521675114,22201,22201,liability,credit,6b9d2d29-afdc-4edb-9863-7bf57bbbddbb,4,2000.2200.2220.22201,active,,2026-02-11 23:34:56.527147+00,2026-02-11 23:34:56.527147+00,عملاء دفعات مقدمة .,,false,true,true,true,221,عملاء دفعات مقدمة .
247df12c-9203-4454-b336-f67832933e71,d5789445-11e3-4ad6-9297-b56521675114,3000,3000,equity,credit,,1,3000,active,,2026-02-11 23:34:56.527147+00,2026-02-11 23:34:56.527147+00,حقوق الملكية,,false,false,false,true,21,حقوق الملكية
2c245f69-02b9-4e42-aee3-09c829368dc6,d5789445-11e3-4ad6-9297-b56521675114,11107,11107,asset,debit,ee6a27b7-acbf-412a-bcfd-231f7d93ed4c,4,1000.1100.1110.11107,active,,2026-02-11 23:34:56.527147+00,2026-02-11 23:34:56.527147+00,العدد والادوات,,false,true,true,true,117,العدد والادوات
3144218c-d290-422d-a461-0c7f4c2673f4,d5789445-11e3-4ad6-9297-b56521675114,11106,11106,asset,debit,ee6a27b7-acbf-412a-bcfd-231f7d93ed4c,4,1000.1100.1110.11106,active,,2026-02-11 23:34:56.527147+00,2026-02-11 23:34:56.527147+00,الاثاث والمهمات,,false,true,true,true,116,الاثاث والمهمات
31a3d74c-c3c4-42ac-a4c9-528871c64052,d5789445-11e3-4ad6-9297-b56521675114,22306,22306,liability,credit,841feb7e-9374-485a-8669-a02528a2e62f,4,2000.2200.2230.22306,active,,2026-02-11 23:34:56.527147+00,2026-02-11 23:34:56.527147+00,ضرائب القيمة المضافة,,false,true,true,true,2356,ضرائب القيمة المضافة
32bf1faa-fb89-4af4-bcd7-1c8277ac16da,d5789445-11e3-4ad6-9297-b56521675114,1200,1200,asset,debit,83d0dc81-52bf-4373-bdf5-a9109fc07d87,2,1000.1200,active,,2026-02-11 23:34:56.527147+00,2026-02-11 23:34:56.527147+00,أصول متداولة,,false,false,false,true,13,الاصول المتداولة
3930be54-2a0c-42f8-a6b3-15eb14c9f0ba,d5789445-11e3-4ad6-9297-b56521675114,22202,22202,liability,credit,6b9d2d29-afdc-4edb-9863-7bf57bbbddbb,4,2000.2200.2220.22202,active,,2026-02-11 23:34:56.527147+00,2026-02-11 23:34:56.527147+00,العملاء تشوينات .,,false,true,true,true,233,العملاء تشوينات .
3b9b8284-ff10-413f-a4f2-ca0544e20a69,d5789445-11e3-4ad6-9297-b56521675114,11105,11105,asset,debit,ee6a27b7-acbf-412a-bcfd-231f7d93ed4c,4,1000.1100.1110.11105,active,,2026-02-11 23:34:56.527147+00,2026-02-11 23:34:56.527147+00,الحاسب الالى,,false,true,true,true,115,الحاسب الالى
3e417728-9fa5-4fc9-8d71-c6fb2b27ee27,d5789445-11e3-4ad6-9297-b56521675114,5000,5000,expense,debit,,1,5000,active,,2026-02-11 23:34:56.527147+00,2026-02-11 23:34:56.527147+00,المصروفات والتكاليف,,false,false,false,true,3,المصروفات
46689d3d-b332-4b02-9017-cb2b741f8bfd,d5789445-11e3-4ad6-9297-b56521675114,2270,2270,liability,credit,542a664e-805e-40f1-aa5c-47aa28811750,3,2000.2200.2270,active,,2026-02-11 23:34:56.527147+00,2026-02-11 23:34:56.527147+00,تأمينات للغير/أمانات,,false,false,false,true,,
542a664e-805e-40f1-aa5c-47aa28811750,d5789445-11e3-4ad6-9297-b56521675114,2200,2200,liability,credit,579a9b3c-08ed-4622-88c5-da8ab70cf67e,2,2000.2200,active,,2026-02-11 23:34:56.527147+00,2026-02-11 23:34:56.527147+00,التزامات متداولة,,false,false,false,true,23,الالتزامات المتداولة
579a9b3c-08ed-4622-88c5-da8ab70cf67e,d5789445-11e3-4ad6-9297-b56521675114,2000,2000,liability,credit,,1,2000,active,,2026-02-11 23:34:56.527147+00,2026-02-11 23:34:56.527147+00,الالتزامات,,false,false,false,true,2,الخصوم
5be46bf3-28f2-4dde-a8c4-aa51c100e176,d5789445-11e3-4ad6-9297-b56521675114,31001,31001,equity,credit,86946261-387a-4174-bc7f-0476d62b0bdb,3,3000.3100.31001,active,,2026-02-11 23:34:56.527147+00,2026-02-11 23:34:56.527147+00,راس المال .,,false,true,true,true,211,راس المال .
6b9d2d29-afdc-4edb-9863-7bf57bbbddbb,d5789445-11e3-4ad6-9297-b56521675114,2220,2220,liability,credit,542a664e-805e-40f1-aa5c-47aa28811750,3,2000.2200.2220,active,,2026-02-11 23:34:56.527147+00,2026-02-11 23:34:56.527147+00,دفعات مقدمة واحتجازات العملاء (Retention),,false,false,false,true,,
