LegacyID,LegacyCode,LegacyName,LegacyPosting,LegacyType,NewCode,NewAccountName,NewParentCode,NewType,NewPosting
13113,13113,تامين غطاء اعتمادات مستندية,0,ASSET,12115,تامين غطاء اعتمادات مستندية,1210.0,ASSET,0
13114,13114,تامين غطاء خطاب ضمان,0,ASSET,12116,تامين غطاء خطاب ضمان,1210.0,ASSET,0
13115,13115,تامين مصلحة الجمارك,0,ASSET,12117,تامين مصلحة الجمارك,1210.0,ASSET,0
13116,13116,اعمال تحت التنفيذ .,0,ASSET,12118,اعمال تحت التنفيذ .,1210.0,ASSET,0
13511,13511,المصاريف اداريه,0,ASSET,12313,المصاريف اداريه,1230.0,ASSET,0
13512,13512,صندوق النقابة,0,ASSET,12314,صندوق النقابة,1230.0,ASSET,0
13513,13513,الامانات,0,ASSET,12315,الامانات,1230.0,ASSET,0
13516,13516,دائنو التوزيعات,0,ASSET,12316,دائنو التوزيعات,1230.0,ASSET,0
13518,13518,ايرادات مقدمه,0,ASSET,12317,ايرادات مقدمه,1230.0,ASSET,0
13519,13519,المساهمة التكافلية,0,ASSET,12318,المساهمة التكافلية,1230.0,ASSET,0
13521,13521,صندوق تكريم الشهداء,0,ASSET,12319,صندوق تكريم الشهداء,1230.0,ASSET,0
13571,13571,تامينات اجتماعية عاملين,0,ASSET,12320,تامينات اجتماعية عاملين,1230.0,ASSET,0
13572,13572,تامينات اجتماعية شركة,0,ASSET,12321,تامينات اجتماعية شركة,1230.0,ASSET,0
13591,13591,ضرائب كسب العمل عمالة,0,ASSET,12322,ضرائب كسب العمل عمالة,1230.0,ASSET,0
13592,13592,ضرائب كسب العمل مرتبات,0,ASSET,12323,ضرائب كسب العمل مرتبات,1230.0,ASSET,0
13593,13593,ضرائب كسب العمل حوافز,0,ASSET,12324,ضرائب كسب العمل حوافز,1230.0,ASSET,0
13594,13594,ضرائب كسب عمل اعضاء مجلس الادارة,0,ASSET,12325,ضرائب كسب عمل اعضاء مجلس الادارة,1230.0,ASSET,0
131111,131111,سلامة اعمال,0,ASSET,12119,سلامة اعمال,1210.0,ASSET,0
131112,131112,ضمان نهائى,0,ASSET,12120,ضمان نهائى,1210.0,ASSET,0
131113,131113,مخاطر,0,ASSET,12121,مخاطر,1210.0,ASSET,0
131114,131114,تأمين إبتدائى,0,ASSET,12122,تأمين إبتدائى,1210.0,ASSET,0
131313,131313,تامينات لدى الغير .,1,ASSET,12123,تامينات لدى الغير .,1210.0,ASSET,1
135161,135161,مساهمو الشركة,0,ASSET,12326,مساهمو الشركة,1230.0,ASSET,0
135162,135162,حصة العاملين,0,ASSET,12327,حصة العاملين,1230.0,ASSET,0
21,21,حقوق الملكية,0,EQUITY,3000,حقوق الملكية,,EQUITY,0
51::ارباح العام,51,ارباح العام .,0,EQUITY,33001,ارباح العام .,3300.0,EQUITY,0
211,211,راس المال .,1,EQUITY,31001,راس المال .,3100.0,EQUITY,1
212,212,الارباح المجنبة .,0,EQUITY,33002,الارباح المجنبة .,3300.0,EQUITY,0
213,213,الاحتياطى القانونى .,0,EQUITY,32001,الاحتياطى القانونى .,3200.0,EQUITY,0
214,214,ارباح و خسائر تقييم استثمارات.,0,EQUITY,33003,ارباح و خسائر تقييم استثمارات.,3300.0,EQUITY,0
215,215,مبالغ مجنبة لزيادة راس المال.,0,EQUITY,32002,مبالغ مجنبة لزيادة راس المال.,3200.0,EQUITY,0
3,3,المصروفات,0,EXP,5000,المصروفات والتكاليف,,EXP,0
5,5,حسابات اخرى,0,EXP,5710,مصروفات/بنود أخرى (Legacy 5 غير مصنفة),5700.0,EXP,1
31,31,التكاليف .,1,EXP,5100,تكاليف المشروعات/التشغيل,5000.0,EXP,1
32,32,المصاريف العمومية .,0,EXP,5200,مصروفات عمومية وإدارية,5000.0,EXP,1
33,33,التكاليف المشتركة .,0,EXP,5300,تكاليف مشتركة,5000.0,EXP,1
35,35,الاهلاك .,0,EXP,5400,إهلاك,5000.0,EXP,0
36,36,فروق تقييم العملة .,0,EXP,5500,فروق تقييم عملة,5000.0,EXP,1
37,37,مصاريف ضريبة الدخل .,0,EXP,5600,ضرائب دخل/مؤجلة,5000.0,EXP,0
38,38,مصاريف الضريبة المؤجلة .,0,EXP,5600,ضرائب دخل/مؤجلة,5000.0,EXP,0
39,39,مصاريف التزامات محتمله .,0,EXP,5700,مصروفات أخرى/مخصصات,5000.0,EXP,0
53,53,مستندات برسم التحصيل .,0,EXP,57101,مستندات برسم التحصيل .,5710.0,EXP,0
58,58,مصروفات بنكيه,0,EXP,52101,مصروفات بنكيه,5210.0,EXP,0
59,59,المخزون,0,EXP,12701,المخزون,1270.0,EXP,0
351,351,اهلاك المبانى,0,EXP,54001,اهلاك المبانى,5400.0,EXP,0
352,352,اهلاك السيارات,0,EXP,54002,اهلاك السيارات,5400.0,EXP,0
353,353,اهلاك الالات و المعدات,0,EXP,54003,اهلاك الالات و المعدات,5400.0,EXP,0
354,354,اهلاك العدد و الادوات,0,EXP,54004,اهلاك العدد و الادوات,5400.0,EXP,0
